0,1,2,3,4,5,6,7,8,9,10
berries,ice cream,,,,,,,,,
hamburger meat,shopping bags,,,,,,,,,
mustard,whole milk,tropical fruit,whole milk,,,,,,,
pip fruit,whole milk,bottled water,,,,,,,,
pork,pork,male cosmetics,,,,,,,,
packaged fruit/vegetables,shopping bags,butter milk,,,,,,,,
other vegetables,margarine,,,,,,,,,
frozen meals,whole milk,,,,,,,,,
rolls/buns,root vegetables,root vegetables,pastry,cake bar,canned fish,,,,,
hygiene articles,dessert,,,,,,,,,
berries,tropical fruit,rolls/buns,pastry,rolls/buns,whole milk,frozen vegetables,,,,
tropical fruit,citrus fruit,frankfurter,spices,butter milk,UHT-milk,,,,,
beverages,soda,,,,,,,,,
root vegetables,soda,,,,,,,,,
bottled beer,newspapers,,,,,,,,,
soda,curd,sliced cheese,,,,,,,,
other vegetables,whole milk,,,,,,,,,
pastry,whole milk,sausage,soda,soda,sliced cheese,domestic eggs,,,,
frankfurter,whole milk,fruit/vegetable juice,pasta,,,,,,,
rolls/buns,bottled water,bottled water,,,,,,,,
frankfurter,pork,rolls/buns,grapes,,,,,,,
soda,specialty chocolate,,,,,,,,,
pip fruit,cookware,rolls/buns,whole milk,,,,,,,
berries,soda,,,,,,,,,
sausage,prosecco,pot plants,,,,,,,,
coffee,cream cheese ,,,,,,,,,
pork,whole milk,flower (seeds),,,,,,,,
sausage,root vegetables,,,,,,,,,
pasta,sausage,rolls/buns,root vegetables,flower (seeds),,,,,,
sausage,pork,butter milk,canned beer,whole milk,yogurt,rolls/buns,,,,
turkey,UHT-milk,,,,,,,,,
seasonal products,whole milk,soda,,,,,,,,
yogurt,specialty vegetables,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
sausage,cream cheese ,,,,,,,,,
sausage,bottled water,,,,,,,,,
pork,liquor,long life bakery product,,,,,,,,
whole milk,soft cheese,frozen vegetables,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
yogurt,whole milk,,,,,,,,,
sausage,soda,cream cheese ,,,,,,,,
canned beer,specialty chocolate,,,,,,,,,
salt,margarine,,,,,,,,,
ready soups,baking powder,,,,,,,,,
canned fish,whole milk,,,,,,,,,
sausage,bottled water,,,,,,,,,
newspapers,whole milk,chewing gum,,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
canned beer,citrus fruit,rolls/buns,condensed milk,skin care,,,,,,
bottled water,herbs,,,,,,,,,
ham,other vegetables,,,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
citrus fruit,yogurt,soda,,,,,,,,
frozen potato products,soda,,,,,,,,,
root vegetables,pastry,,,,,,,,,
other vegetables,pip fruit,,,,,,,,,
meat,curd,,,,,,,,,
citrus fruit,berries,,,,,,,,,
citrus fruit,root vegetables,yogurt,soft cheese,,,,,,,
frozen meals,other vegetables,,,,,,,,,
soda,whole milk,,,,,,,,,
meat,curd,,,,,,,,,
pork,domestic eggs,,,,,,,,,
bottled water,whole milk,,,,,,,,,
canned beer,brown bread,,,,,,,,,
whole milk,whole milk,herbs,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
liver loaf,bottled beer,,,,,,,,,
chocolate,whole milk,,,,,,,,,
UHT-milk,tea,,,,,,,,,
salty snack,soups,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
newspapers,shopping bags,,,,,,,,,
citrus fruit,toilet cleaner,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
soda,pork,,,,,,,,,
UHT-milk,berries,shopping bags,,,,,,,,
pip fruit,salty snack,yogurt,,,,,,,,
pip fruit,pork,sausage,dessert,grapes,soda,dessert,yogurt,whole milk,,
sausage,other vegetables,margarine,curd,pastry,newspapers,,,,,
misc. beverages,dishes,,,,,,,,,
soda,beverages,fruit/vegetable juice,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
coffee,root vegetables,whipped/sour cream,,,,,,,,
root vegetables,liquor,sliced cheese,,,,,,,,
margarine,rolls/buns,,,,,,,,,
other vegetables,skin care,,,,,,,,,
tropical fruit,other vegetables,hygiene articles,brandy,,,,,,,
coffee,napkins,,,,,,,,,
beef,other vegetables,,,,,,,,,
root vegetables,semi-finished bread,,,,,,,,,
bottled water,root vegetables,bottled beer,pastry,,,,,,,
meat,pip fruit,,,,,,,,,
rolls/buns,UHT-milk,,,,,,,,,
citrus fruit,canned beer,,,,,,,,,
salt,canned beer,roll products ,,,,,,,,
finished products,liquor,,,,,,,,,
rolls/buns,domestic eggs,rolls/buns,,,,,,,,
soda,rice,,,,,,,,,
brown bread,whipped/sour cream,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
sausage,bottled beer,,,,,,,,,
berries,yogurt,,,,,,,,,
canned beer,brown bread,,,,,,,,,
margarine,yogurt,,,,,,,,,
yogurt,pastry,bottled water,,,,,,,,
canned beer,yogurt,,,,,,,,,
canned beer,white bread,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
beef,white wine,UHT-milk,butter milk,,,,,,,
whole milk,whole milk,,,,,,,,,
newspapers,shopping bags,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
chicken,whole milk,specialty bar,,,,,,,,
frankfurter,canned fish,beverages,,,,,,,,
pip fruit,flour,other vegetables,,,,,,,,
pork,other vegetables,,,,,,,,,
beef,margarine,other vegetables,,,,,,,,
whole milk,butter,,,,,,,,,
bags,other vegetables,,,,,,,,,
canned beer,root vegetables,,,,,,,,,
packaged fruit/vegetables,dog food,,,,,,,,,
frankfurter,whole milk,rolls/buns,,,,,,,,
coffee,hard cheese,domestic eggs,,,,,,,,
rolls/buns,nuts/prunes,,,,,,,,,
nuts/prunes,vinegar,,,,,,,,,
frozen dessert,rolls/buns,,,,,,,,,
citrus fruit,bottled beer,cat food,,,,,,,,
bottled beer,rolls/buns,,,,,,,,,
chocolate,whipped/sour cream,bottled beer,,,,,,,,
brandy,soap,chewing gum,,,,,,,,
yogurt,curd,,,,,,,,,
berries,ham,,,,,,,,,
pork,finished products,ice cream,shopping bags,rolls/buns,,,,,,
photo/film,canned beer,,,,,,,,,
soda,root vegetables,semi-finished bread,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
chicken,curd,,,,,,,,,
canned fish,newspapers,,,,,,,,,
finished products,newspapers,whipped/sour cream,,,,,,,,
newspapers,canned beer,,,,,,,,,
beef,other vegetables,,,,,,,,,
beef,waffles,salty snack,,,,,,,,
fruit/vegetable juice,candy,,,,,,,,,
